dato,datetime,air_temp_avg,air_temp_min,surface_temp_avg,surface_temp_min,temp_diff,wind_avg,wind_max,gust_max,precip_total,precip_duration,snow_depth,snow_change,humidity_avg,dew_point_avg,scenario
27. des. 2023,2023-12-27 10:54:00,-4.55,-5.7,-14.083333333333334,-15.3,9.533333333333335,1.15,2.0,7.5,0.0,0.0,41.4,-0.5,60.333333333333336,-12.533333333333333,ANNET
27. des. 2023,2023-12-27 15:39:00,-3.066666666666667,-4.7,-8.9,-13.8,5.833333333333334,4.333333333333333,6.3,12.1,0.0,0.0,40.25,-2.6000000000000014,38.5,-15.816666666666665,ANNET
28. des. 2023,2023-12-28 05:33:00,-4.383333333333334,-5.4,-4.816666666666666,-5.5,0.4333333333333327,12.266666666666666,13.8,26.4,0.5,222.0,29.33333333333333,-0.3999999999999986,81.16666666666667,-7.333333333333333,SNØFOKK
29. des. 2023,2023-12-29 10:20:00,0.26666666666666666,0.1,-0.016666666666666666,-0.1,0.2833333333333333,0.0,0.0,4.4,10.5,337.0,43.366666666666674,1.2999999999999972,98.16666666666667,0.0,SLAPS
29. des. 2023,2023-12-29 07:00:00,0.24285714285714285,0.2,-0.028571428571428574,-0.1,0.2714285714285714,1.2857142857142858,2.4,5.7,6.799999999999999,384.0,39.92857142857143,10.199999999999996,98.0,-0.028571428571428574,SLAPS
31. des. 2023,2023-12-31 09:32:00,-2.766666666666666,-3.1,-3.9999999999999996,-4.2,1.2333333333333334,12.966666666666667,14.4,22.4,0.0,19.0,38.78333333333333,-0.19999999999999574,77.16666666666667,-6.366666666666666,SNØFOKK
1. jan. 2024,2024-01-01 06:27:00,-3.4666666666666663,-4.0,-5.300000000000001,-5.6,1.8333333333333344,10.283333333333333,13.9,22.7,0.0,0.0,37.916666666666664,-0.5,68.66666666666667,-8.766666666666666,SNØFOKK
2. jan. 2024,2024-01-02 16:41:00,-8.266666666666667,-8.6,-10.083333333333334,-10.3,1.8166666666666664,12.966666666666663,15.4,28.3,0.0,36.0,36.6,-0.29999999999999716,67.0,-13.499999999999998,SNØFOKK
3. jan. 2024,2024-01-03 09:05:00,-8.966666666666667,-9.2,-10.766666666666666,-11.2,1.799999999999999,13.233333333333334,16.2,29.1,0.0,55.0,34.45,-0.10000000000000142,56.5,-16.183333333333334,SNØFOKK
5. jan. 2024,2024-01-05 09:06:00,-10.950000000000001,-11.3,-17.3,-17.8,6.35,3.0500000000000003,3.5,5.8,0.0,0.0,31.350000000000005,0.09999999999999787,37.333333333333336,-22.599999999999998,ANNET
